MUNICÍPIO,TOTAL_MORADORES,Local,Mortalidade Infantil,Taxa Mortalidade Infantil por 1000
FORTALEZA,9364,FORTALEZA,11.73,1.2526697992310978
ITAPIPOCA,7620,ITAPIPOCA,8.8,1.1548556430446195
JUAZEIRO DO NORTE,4495,JUAZEIRO DO NORTE,12.11,2.694104560622914
MARACANAÚ,4403,MARACANAÚ,8.2,1.862366568248921
TRAIRI,4377,TRAIRI,12.18,2.782727895819054
QUIXADÁ,4018,QUIXADÁ,12.38,3.081134892981583
TIANGUÁ,3926,TIANGUÁ,12.53,3.1915435557819665
SOBRAL,3789,SOBRAL,14.05,3.7081024016891004
MARANGUAPE,3728,MARANGUAPE,7.57,2.030579399141631
ITAREMA,3080,ITAREMA,11.08,3.5974025974025974
CAUCAIA,2930,CAUCAIA,11.48,3.9180887372013653
VIÇOSA DO CEARÁ,2899,VIÇOSA DO CEARÁ,9.22,3.180407036909279
QUIXERAMOBIM,2621,QUIXERAMOBIM,17.38,6.631056848531095
MAURITI,2587,MAURITI,15.04,5.813683803633552
GRANJA,2518,GRANJA,11.08,4.400317712470215
ACARAÚ,2368,ACARAÚ,2.06,0.8699324324324325
CRATO,2266,CRATO,15.92,7.025595763459841
SÃO BENEDITO,2028,SÃO BENEDITO,11.8,5.81854043392505
MORADA NOVA,2025,MORADA NOVA,8.75,4.320987654320987
SANTANA DO ACARAÚ,1955,SANTANA DO ACARAÚ,13.59,6.951406649616368
AQUIRAZ,1926,AQUIRAZ,13.1,6.801661474558671
MISSÃO VELHA,1921,MISSÃO VELHA,3.54,1.842790213430505
MOMBAÇA,1829,MOMBAÇA,13.95,7.627118644067796
PEDRA BRANCA,1824,PEDRA BRANCA,17.33,9.501096491228068
ICÓ,1819,ICÓ,13.72,7.54260582737768
SANTA QUITÉRIA,1797,SANTA QUITÉRIA,8.83,4.913745130773512
LIMOEIRO DO NORTE,1719,LIMOEIRO DO NORTE,28.65,16.666666666666668
UBAJARA,1694,UBAJARA,8.73,5.153482880755608
PACAJUS,1682,PACAJUS,6.75,4.01307966706302
PACATUBA,1662,PACATUBA,14.3,8.604091456077017
JARDIM,1655,JARDIM,19.89,12.018126888217523
