"Local",Densidade
"Abaiara",55.51
"Acarape",107.90
"Acaraú",77.47
"Acopiara",19.95
"Aiuaba",5.77
"Alcântaras",83.74
"Altaneira",93.32
"Alto Santo",12.34
"Amontada",35.88
"Antonina do Norte",27.90
"Apuiarés",23.77
"Aquiraz",167.93
"Aracati",61.21
"Aracoiaba",39.68
"Ararendá",32.42
"Araripe",18.03
"Aratuba",93.72
"Arneiroz",6.95
"Assaré",18.78
"Aurora",26.77
"Baixio",39.19
"Banabuiú",15.91
"Barbalha",123.38
"Barreira",86.12
"Barro",27.25
"Barroquinha",37.78
"Baturité",112.13
"Beberibe",33.26
"Bela Cruz",38.92
"Boa Viagem",17.78
"Brejo Santo",78.04
"Camocim",55.63
"Campos Sales",23.22
"Canindé",24.46
"Capistrano",76.16
"Caridade",17.68
"Cariré",23.34
"Caririaçu",41.50
"Cariús",16.42
"Carnaubal",47.38
"Cascavel",86.77
"Catarina",20.98
"Catunda",13.32
"Caucaia",290.77
"Cedro",30.61
"Chaval",52.53
"Choró",14.86
"Chorozinho",68.02
"Coreaú",27.92
"Crateús",25.62
"Crato",115.14
"Croatá",25.10
"Cruz",88.60
"Deputado Irapuan Pinheiro",18.96
"Ereré",17.84
"Eusébio",941.03
"Farias Brito",34.34
"Forquilha",42.50
"Fortaleza",7775.52
"Fortim",60.68
"Frecheirinha",74.46
"General Sampaio",29.23
"Graça",53.30
"Granja",20.03
"Granjeiro",43.41
"Groaíras",70.08
"Guaiúba",95.00
"Guaraciaba do Norte",67.33
"Guaramiranga",62.26
"Hidrolândia",19.27
"Horizonte",465.60
"Ibaretama",13.60
"Ibiapina",57.87
"Ibicuitinga",27.39
"Icapuí",50.86
"Icó",33.57
"Iguatu",98.83
"Independência",7.46
"Ipaporanga",16.42
"Ipaumirim",43.70
"Ipu",65.62
"Ipueiras",24.81
"Iracema",16.68
"Irauçuba",16.31
"Itaiçaba",35.28
"Itaitinga",420.66
"Itapajé",107.42
"Itapipoca",81.93
"Itapiúna",30.07
"Itarema",60.09
"Itatira",24.62
"Jaguaretama",9.43
"Jaguaribara",16.62
"Jaguaribe",17.97
"Jaguaruana",37.10
"Jardim",50.30
"Jati",21.34
"Jijoca de Jericoacoara",122.26
"Juazeiro do Norte",1105.62
"Jucás",25.44
"Lavras da Mangabeira",32.59
"Limoeiro do Norte",80.00
"Madalena",16.93
"Maracanaú",2231.91
"Maranguape",180.11
"Marco",44.98
"Martinópole",35.74
"Massapê",66.39
"Mauriti",42.22
"Meruoca",99.95
"Milagres",44.72
"Milhã",28.13
"Miraíma",20.03
"Missão Velha",60.04
"Mombaça",17.84
"Monsenhor Tabosa",19.21
"Morada Nova",22.23
"Moraújo",19.92
"Morrinhos",55.28
"Mucambo",71.11
"Mulungu",107.90
"Nova Olinda",54.49
"Nova Russas",41.66
"Novo Oriente",29.07
"Ocara",32.10
"Orós",34.07
"Pacajus",283.59
"Pacatuba",611.88
"Pacoti",99.49
"Pacujá",69.89
"Palhano",21.39
"Palmácia",79.46
"Paracuru",127.91
"Paraipaba",111.39
"Parambu",13.59
"Paramoti",19.26
"Pedra Branca",30.86
"Penaforte",59.60
"Pentecoste",27.40
"Pereiro",35.04
"Pindoretama",315.95
"Piquet Carneiro",28.18
"Pires Ferreira",43.38
"Poranga",9.20
"Porteiras",75.82
"Potengi",25.73
"Potiretama",14.60
"Quiterianópolis",19.40
"Quixadá",41.66
"Quixelô",26.28
"Quixeramobim",24.71
"Quixeré",34.05
"Redenção",109.74
"Reriutaba",49.89
"Russas",45.27
"Saboeiro",10.03
"Salitre",20.63
"Santana do Acaraú",31.49
"Santana do Cariri",19.83
"Santa Quitéria",9.43
"São Benedito",135.79
"São Gonçalo do Amarante",64.25
"São João do Jaguaribe",20.95
"São Luís do Curu",88.08
"Senador Pompeu",25.36
"Senador Sá",17.10
"Sobral",98.15
"Solonópole",11.84
"Tabuleiro do Norte",29.26
"Tamboril",12.32
"Tarrafas",18.24
"Tauá",15.27
"Tejuçuoca",22.61
"Tianguá",89.58
"Trairi",62.90
"Tururu",76.57
"Ubajara",77.34
"Umari",26.11
"Umirim",55.35
"Uruburetama",203.11
"Uruoca",19.70
"Varjota",101.01
"Várzea Alegre",46.97
"Viçosa do Ceará",45.55
