"Local",PopulacaoOcupada
"Abaiara",11.80
"Acarape",13.80
"Acaraú",9.65
"Acopiara",8.54
"Aiuaba",10.35
"Alcântaras",8.59
"Altaneira",9.78
"Alto Santo",13.35
"Amontada",9.95
"Antonina do Norte",10.37
"Apuiarés",9.41
"Aquiraz",28.02
"Aracati",17.41
"Aracoiaba",12.07
"Ararendá",11.08
"Araripe",7.28
"Aratuba",9.97
"Arneiroz",9.21
"Assaré",8.74
"Aurora",7.35
"Baixio",12.57
"Banabuiú",11.17
"Barbalha",18.02
"Barreira",7.43
"Barro",7.94
"Barroquinha",9.90
"Baturité",12.05
"Beberibe",11.41
"Bela Cruz",7.12
"Boa Viagem",8.60
"Brejo Santo",21.16
"Camocim",11.31
"Campos Sales",9.84
"Canindé",14.82
"Capistrano",7.05
"Caridade",10.17
"Cariré",8.89
"Caririaçu",7.90
"Cariús",6.98
"Carnaubal",9.24
"Cascavel",16.06
"Catarina",9.86
"Catunda",9.59
"Caucaia",15.06
"Cedro",8.34
"Chaval",14.10
"Choró",5.37
"Chorozinho",11.57
"Coreaú",7.49
"Crateús",11.45
"Crato",16.78
"Croatá",6.18
"Cruz",12.06
"Deputado Irapuan Pinheiro",9.07
"Ereré",11.04
"Eusébio",70.07
"Farias Brito",8.26
"Forquilha",11.43
"Fortaleza",39.18
"Fortim",14.28
"Frecheirinha",27.90
"General Sampaio",11.23
"Graça",7.28
"Granja",7.46
"Granjeiro",11.49
"Groaíras",11.43
"Guaiúba",9.78
"Guaraciaba do Norte",9.27
"Guaramiranga",21.37
"Hidrolândia",8.74
"Horizonte",30.14
"Ibaretama",9.02
"Ibiapina",8.27
"Ibicuitinga",9.93
"Icapuí",20.83
"Icó",10.41
"Iguatu",18.41
"Independência",7.81
"Ipaporanga",7.58
"Ipaumirim",10.29
"Ipu",10.84
"Ipueiras",6.57
"Iracema",9.31
"Irauçuba",9.10
"Itaiçaba",12.09
"Itaitinga",17.56
"Itapajé",13.02
"Itapipoca",13.64
"Itapiúna",7.52
"Itarema",9.17
"Itatira",6.42
"Jaguaretama",8.83
"Jaguaribara",11.29
"Jaguaribe",12.19
"Jaguaruana",15.64
"Jardim",8.21
"Jati",10.38
"Jijoca de Jericoacoara",27.09
"Juazeiro do Norte",21.99
"Jucás",8.36
"Lavras da Mangabeira",7.45
"Limoeiro do Norte",18.57
"Madalena",9.51
"Maracanaú",29.98
"Maranguape",16.12
"Marco",15.14
"Martinópole",9.07
"Massapê",9.27
"Mauriti",8.51
"Meruoca",9.61
"Milagres",10.23
"Milhã",7.58
"Miraíma",1.56
"Missão Velha",9.43
"Mombaça",9.12
"Monsenhor Tabosa",8.58
"Morada Nova",18.02
"Moraújo",10.81
"Morrinhos",7.90
"Mucambo",10.27
"Mulungu",9.93
"Nova Olinda",11.83
"Nova Russas",11.53
"Novo Oriente",8.12
"Ocara",5.55
"Orós",8.16
"Pacajus",14.56
"Pacatuba",10.04
"Pacoti",11.13
"Pacujá",11.87
"Palhano",12.06
"Palmácia",8.82
"Paracuru",11.49
"Paraipaba",14.99
"Parambu",8.53
"Paramoti",8.56
"Pedra Branca",10.84
"Penaforte",10.96
"Pentecoste",13.60
"Pereiro",31.09
"Pindoretama",13.14
"Piquet Carneiro",7.64
"Pires Ferreira",8.54
"Poranga",7.22
"Porteiras",8.73
"Potengi",10.21
"Potiretama",12.14
"Quiterianópolis",7.58
"Quixadá",13.38
"Quixelô",7.71
"Quixeramobim",17.23
"Quixeré",20.00
"Redenção",13.72
"Reriutaba",10.95
"Russas",18.89
"Saboeiro",7.11
"Salitre",11.68
"Santana do Acaraú",7.50
"Santana do Cariri",7.89
"Santa Quitéria",15.78
"São Benedito",11.32
"São Gonçalo do Amarante",29.69
"São João do Jaguaribe",10.96
"São Luís do Curu",8.39
"Senador Pompeu",17.23
"Senador Sá",8.65
"Sobral",28.76
"Solonópole",14.44
"Tabuleiro do Norte",10.87
"Tamboril",6.68
"Tarrafas",9.34
"Tauá",11.43
"Tejuçuoca",10.00
"Tianguá",14.77
"Trairi",8.99
"Tururu",9.73
"Ubajara",11.92
"Umari",8.31
"Umirim",7.99
"Uruburetama",14.53
"Uruoca",12.57
"Varjota",16.30
"Várzea Alegre",10.39
"Viçosa do Ceará",7.13
